school.instructional_expenditure_per_fte,X2013.student.demographics.race_ethnicity.black,school.tuition_revenue_per_fte,id,X2013.student.share_firstgeneration,school.minority_serving.annh,X2013.cost.tuition.program_year,X2013.cost.attendance.program_year,X2013.aid.pell_grant_rate,school.minority_serving.historically_black,school.minority_serving.nant,X2013.student.demographics.race_ethnicity.two_or_more,X2013.student.demographics.race_ethnicity.white,X2013.student.size,X2013.student.demographics.race_ethnicity.hispanic,X2013.student.demographics.race_ethnicity.non_resident_alien,X2013.student.demographics.race_ethnicity.unknown,school.minority_serving.predominantly_black,school.under_investigation,school.minority_serving.hispanic,school.minority_serving.aanipi,X2013.student.demographics.race_ethnicity.aian,school.minority_serving.tribal,X2013.student.demographics.race_ethnicity.asian,school.name,X2013.student.demographics.race_ethnicity.nhpi,X2013.admissions.admission_rate.overall,X2013.admissions.sat_scores.average.overall,X2013.student.enrollment.all,X2013.student.demographics.race_ethnicity.white_non_hispanic,X2013.student.demographics.race_ethnicity.black_non_hispanic,X2013.student.demographics.race_ethnicity.asian_pacific_islander,X2013.cost.attendance.academic_year,X2013.cost.tuition.in_state,X2013.cost.tuition.out_of_state,year
1051,0.5517,2863,152044,0.548387097,0,8216,7672,0.6389,0,0,0.0345,0.3103,87,0.1034,0,0,0,0,0,0,0,0,0,West Michigan College of Barbering and Beauty,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
2755,0,3257,169071,0.484375,0,8475,11841,0.6111,0,0,0.0256,0.9487,39,0,0,0,0,0,0,0,0.0256,0,0,Cadillac Institute of Cosmetology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
7473,0,11107,480727,0,0,21000,22479,0.4182,0,0,0.0152,0.8485,66,0.0152,0.0455,0.0303,0,0,0,0,0.0152,0,0.0303,School of Missionary Aviation Technology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
5701,0.6071,3853,480754,0,0,NA,NA,0,0,0,0,0.2857,28,0.0357,0,0,0,0,0,0,0.0357,0,0,Manthano Christian College,0.0357,NA,NA,NA,NA,NA,NA,NA,5100,5100,2013
3346,0.5924,17462,482510,0.502429311,0,NA,NA,0.6636,0,0,0,0.337,184,0.0217,0.0054,0.0163,0,0,0,0,0,0,0.0163,DeVry University-Michigan,0.0109,0.6667,NA,NA,NA,NA,NA,25272,16010,16010,2013
6880,0.5064,20319,481599,0.582324455,0,NA,NA,0.7857,0,0,0.0577,0.3077,156,0.109,0,0.0064,0,0,0,0,0.0064,0,0.0064,Dorsey Business Schools-Lansing,0,NA,NA,NA,NA,NA,NA,30517,17568,17568,2013
NA,NA,NA,16947920,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Grand Rapids Downtown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3748,0.098,11237,479576,0.506675155,0,NA,NA,0.7308,0,0,0,0.7647,51,0.0588,0,0.0196,0,0,0,0,0.0196,0,0.0392,ITT Technical Institute-Grand Rapids,0,0.92,NA,NA,NA,NA,NA,27895,NA,NA,2013
2839,0.7972,7665,479585,0.506675155,0,NA,NA,0.875,0,0,0.035,0.1189,143,0.007,0,0.035,0,0,0,0,0.007,0,0,ITT Technical Institute-Southfield,0,0.8921,NA,NA,NA,NA,NA,27753,18048,18048,2013
1733,0,2908,477002,0,0,13915,12302,0.125,0,0,0,0.9818,55,0,0,0.0182,0,0,0,0,0,0,0,Brighton Institute of Cosmetology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
8979,0.1616,15343,469975,0.568364611,0,NA,NA,0.5746,0,0,0.0202,0.7273,99,0.0202,0,0.0505,0,0,0,0,0,0,0.0202,Career Quest Learning Center-Kalamazoo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
NA,NA,NA,14736901,0.298356511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Moody Theological Seminary and Graduate School--Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
14273,0.9801,18744,461892,0.559670782,0,9000,14021,0.8634,0,0,0.0066,0.0132,151,0,0,0,0,0,0,0,0,0,0,Abcott Institute,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
2976,0.0541,2495,461944,0,0,13900,15262,0.6569,0,0,0.0541,0.7162,74,0.1486,0,0,0,0,0,0,0,0,0,Protege Academy,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
6134,0.4266,19210,468024,0.488117088,0,NA,NA,0.633,0,0,0,0.4831,354,0.0085,0,0.0452,0,0,0,0,0.0028,0,0.0254,South University-Novi,0.0085,0.3333,NA,NA,NA,NA,NA,29650,16360,16360,2013
6249,0.1375,10571,467571,0.505111621,0,17300,25296,0.8264,0,0,0.125,0.3375,80,0.025,0,0.3625,0,0,0,0,0.0125,0,0,Regency Beauty Institute-Lansing,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1641,0.7333,7438,461403,0,0,12000,14445,0.4667,0,0,0.0667,0.1667,30,0,0,0,0,0,0,0,0,0,0.0333,Scholars Cosmetology University,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
4407,0.0095,3303,461315,0.608108108,0,NA,NA,0.7442,0,0,0,0.2476,105,0,0,0,0,0,0,0,0.7429,1,0,Keweenaw Bay Ojibwa Community College,0,NA,NA,NA,NA,NA,NA,12201,2660,2660,2013
2968,0.4305,8766,460482,0.582324455,0,NA,NA,0.8245,0,0,0.0583,0.3991,223,0.0942,0,0,0,0,0,0,0.0135,0,0.0045,Dorsey Business Schools-Saginaw,0,NA,NA,NA,NA,NA,NA,31242,17568,17568,2013
1068,0.0663,5170,460093,0.551145892,0,15680,22365,0.5348,0,0,0.0166,0.884,181,0.0166,0,0.0166,0,0,0,0,0,0,0,Ross Medical Education Center-Davison,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
